BusinessUnit,CustomerNo,Salesperson,OrderLines,DiscountEUR,CategoryCode,CategoryLabel,CustCatDiscountEUR,PctOfCustomer
DK,26170208,DKR-DK,4,226.6241040783242,PA2_Manually,Manual Price Change,226.6241040783242,100.0
DK,26874417,B2B-DK,1,-123.18239027394692,PA2_Manually,Manual Price Change,-123.18239027394692,100.0
DK,27112278,MPE-DK,21,-439.50829502524755,PA2_Manually,Manual Price Change,-439.50829502524755,100.0
DK,27127193,MIJ-DK,2,5.8985186674710075,PA2_Manually,Manual Price Change,5.8985186674710075,100.0
DK,27149250,MRO-DK,26,8384.252802316389,PA2_Manually,Manual Price Change,8591.840741189073,97.58
DK,27149250,SLI-DK,9,207.58793887268436,PA2_Manually,Manual Price Change,8591.840741189073,2.42
DK,27288860A,B2B-DK,36,729.3600993591577,PA2_Manually,Manual Price Change,870.1334141014755,83.82
DK,27288860A,DKR-DK,1,140.7733147423178,PA2_Manually,Manual Price Change,870.1334141014755,16.18
DK,27500888,B2B-DK,1,8.364561027837258,PA2_Manually,Manual Price Change,8.364561027837258,100.0
DK,28740120,B2B-DK,1,6.448585601287036,PA2_Manually,Manual Price Change,6.448585601287036,100.0
DK,28771095,JMA-DK,1,-90.08767461189909,PA2_Manually,Manual Price Change,-90.08767461189909,100.0
DK,29462660,CHA-DK,20,597.4408011797475,PA2_Manually,Manual Price Change,1988.2105627393084,30.05
DK,29462660,MRR-DK,19,1390.769761559561,PA2_Manually,Manual Price Change,1988.2105627393084,69.95
DK,298205555,UWH-DK,55,666.820674134443,PA2_Manually,Manual Price Change,666.820674134443,100.0
DK,298311414,KMA-DK,3,104.96579239801319,PA2_Manually,Manual Price Change,104.96579239801319,100.0
DK,298344000,MPN-DK,35,2785.4091865271203,PA2_Manually,Manual Price Change,2785.4091865271203,100.0
DK,298471900,UWH-DK,1,-844.1757269448875,PA2_Manually,Manual Price Change,-844.1757269448875,100.0
DK,298474444,UWH-DK,2,1647.2931209967714,PA2_Manually,Manual Price Change,1647.2931209967714,100.0
DK,298505057,UWH-DK,4,593.9895849319628,PA2_Manually,Manual Price Change,593.9895849319628,100.0
DK,298550055,UWH-DK,5,366.6150041338804,PA2_Manually,Manual Price Change,366.6150041338804,100.0
DK,29861033,PAV-DK,2,16.991098241098243,PA2_Manually,Manual Price Change,16.991098241098243,100.0
DK,299342670,KMA-DK,17,150.25740447837038,PA2_Manually,Manual Price Change,150.25740447837038,100.0
DK,299365500,DKR-DK,5,588.9010443970677,PA2_Manually,Manual Price Change,588.9010443970677,100.0
DK,299551427,B2B-DK,6,21.70061201598456,PA2_Manually,Manual Price Change,21.70061201598456,100.0
DK,30283773,FRA-DK,25,-690.5291014217302,PA2_Manually,Manual Price Change,-690.4582227160179,100.01
DK,30283773,POS-DK,6,0.07087870571226415,PA2_Manually,Manual Price Change,-690.4582227160179,-0.01
DK,30295256,CHA-DK,30,1931.5830899264909,PA2_Manually,Manual Price Change,4539.321206978266,42.55
DK,30295256,MRR-DK,2,2607.738117051775,PA2_Manually,Manual Price Change,4539.321206978266,57.45
DK,30918787,SEC-DK,2,173.1339278007536,PA2_Manually,Manual Price Change,173.1339278007536,100.0
DK,30927220,B2B-DK,4,38.07105519727061,PA2_Manually,Manual Price Change,94.27627500534648,40.38
DK,30927220,DKR-DK,4,56.20521980807587,PA2_Manually,Manual Price Change,94.27627500534648,59.62
